psr,source_file,P_s,DM_LOTAAS,sigma,S135_cor,S135_exp,ra_deg,dec_deg,DM_atnf,P0_atnf
J1838+1650,redetect.dat,1.902,33.1,13.9,10.5,0.0,279.679425,16.837791666666664,32.9516,1.90196739931
J1844+21,redetect.dat,0.5946,28.8,6.3,11.7,0.0,281.0,21.85,28.0,0.5959
J1848+0647,redetect.dat,0.506,24.7,13.6,29.2,10.5,282.233375,6.792138888888889,27.9,0.5059567391
J1849+2423,redetect.dat,0.2756,62.3,11.4,9.8,8.7,282.3944845833333,24.396104444444443,62.2677,0.27564149867101
J1851-0053,redetect.dat,1.4091,24.5,12.6,29.0,0.0,282.76363179249995,-0.8853371972222221,24.43,1.4090657647977658
J1900+30,redetect.dat,0.6022,71.8,16.3,6.7,0.0,285.07499999999993,30.883333333333333,71.835,0.602227
J1906+1854,redetect.dat,1.0191,156.8,10.1,8.4,20.4,286.68629166666665,18.90236111111111,156.768,1.01909277135
J1907+57,redetect.dat,0.4237,54.5,13.2,3.8,0.0,286.75,57.0,54.63,0.424
J1912+2525,redetect.dat,0.622,37.8,50.0,24.2,22.0,288.07760833333333,25.417255555555556,37.8474,0.62197624506
J1923+4243,redetect.dat,0.5952,53.2,30.9,9.1,0.0,290.8134953737916,42.72184685726389,52.99,0.5951928585118446
J1922+58,redetect.dat,0.5296,53.7,30.7,8.8,0.0,290.5,58.46666666666667,53.74,0.529623
J1929+00,redetect.dat,1.1669,42.8,35.4,33.1,0.0,292.3666666666667,0.43333333333333335,42.95,1.1669
J1929+62,redetect.dat,1.4561,67.8,13.8,2.6,0.0,292.25,62.266666666666666,67.7,1.456
J1930-01,redetect.dat,0.5937,36.5,28.4,30.9,0.0,,,,
J1934+5219,redetect.dat,0.5684,71.3,13.6,4.7,0.0,293.59950016312496,52.33265772878056,71.26,0.5684422829737256
J1938+0650,redetect.dat,1.1216,75.1,9.7,8.8,14.6,294.47274999999996,6.835,70.8,1.121561892
J1938+14,redetect.dat,2.9025,74.0,28.3,9.5,0.0,294.52916666666664,15.1,75.0,2.9025
J1941+0121,redetect.dat,0.2173,52.3,17.0,25.4,0.0,295.31682916666665,1.3609722222222222,51.87,0.217317451828
J1941+4320,redetect.dat,0.8409,79.3,24.9,7.6,0.0,295.4954736119166,43.335092048647226,79.361,0.8409064683921292
J1942+8106,redetect.dat,0.2036,40.3,22.1,4.9,0.0,295.72780237204165,81.1048149594111,40.24,0.20355845286745913
J1943+0609,redetect.dat,0.4462,70.7,7.4,11.4,0.0,295.87138330499994,6.166002497222222,70.656,0.44622660251321994
J1945+07,redetect.dat,1.074,62.3,8.9,5.0,0.0,296.47916666666663,7.283333333333333,62.0,1.0739
J1952+30,redetect.dat,1.6657,189.8,7.9,4.6,0.0,,,,
J1954+4357,redetect.dat,1.387,130.2,6.7,6.0,0.0,298.6601993092083,43.96038146248333,130.3,1.3870411601545107
J2000+29,redetect.dat,3.0738,132.3,12.2,4.3,0.0,,,,
J2001+4258,redetect.dat,0.7192,54.9,26.3,14.1,0.0,300.29411934404163,42.96840707817223,54.93,0.7191661378516744
J2005-0020,redetect.dat,2.2797,36.2,19.1,20.2,36.6,301.43221654291665,-0.3400604277777778,36.09,2.2796800296651574
J2007+0809,redetect.dat,0.3257,53.4,14.3,53.8,37.1,301.80625,8.159166666666668,53.39,0.32572436605
J2007+0910,redetect.dat,0.4587,48.7,28.4,18.1,34.6,301.99209625,9.170258333333333,48.7293,0.4587348258074
J2008+2513,redetect.dat,0.5892,60.6,19.6,13.0,4.3,302.14784166666664,25.225099999999998,60.556,0.58919550332
J2010+2845,redetect.dat,0.5654,112.4,12.9,0.0,0.0,302.52111666666667,28.75810277777778,112.47,0.5653693451984
J2016+1948,redetect.dat,0.0649,33.8,31.5,22.1,15.1,304.23934787499996,19.79766338888889,33.8148,0.06494038824151367
J2017+2043,redetect.dat,0.5371,60.5,20.6,10.2,16.4,304.370575,20.725527777777778,60.491,0.537143086032
J2017+5906,redetect.dat,0.4035,60.3,17.7,8.4,0.0,304.435651798625,59.113050003141666,60.28,0.40347833490243656
J2027+7502,redetect.dat,0.5152,11.6,15.9,9.5,0.0,306.84698066724997,75.04147693926112,11.42,0.515218649151172
J2030+55,redetect.dat,0.5789,59.6,19.5,8.9,0.0,307.49999999999994,55.0,59.43,0.579
J2033+0042,redetect.dat,5.0134,37.8,12.6,8.9,0.0,308.37966666666665,0.7066944444444444,37.84,5.013400111407841
J2036+2835,redetect.dat,1.3587,84.3,19.9,8.1,11.7,309.19317916666665,28.586233333333332,84.217,1.35872676315
J2038+35,redetect.dat,0.1602,57.9,30.1,17.2,0.0,309.49999999999994,35.0,57.91,0.16
J2040+1657,redetect.dat,0.8656,50.7,8.2,5.4,12.4,310.0744375,16.95846111111111,50.6919,0.865606225032
J2043+2740,redetect.dat,0.0961,21.0,165.5,165.6,160.6,310.9312499999999,27.682222222222222,21.02064,0.09613056295
J2043+7045,redetect.dat,0.5896,57.5,12.2,6.2,0.0,310.74999999999994,70.75,57.64,0.588
J2045+0912,redetect.dat,0.3956,31.4,13.1,5.8,10.7,311.44726583333335,9.2081,31.776,0.3955551117394
J2102+38,redetect.dat,1.1899,86.2,11.5,8.4,0.0,315.5,38.0,86.3,1.19
J2105+28,redetect.dat,0.4057,62.3,16.2,6.0,0.0,316.5,28.483333333333334,62.48,0.405737
J2113+67,redetect.dat,0.5521,54.7,10.4,4.3,0.0,318.5,67.03333333333333,54.98,0.55217
J2137+6428,redetect.dat,1.751,105.9,7.8,3.0,0.0,324.3344395909583,64.47827527576666,106.0,1.7509891632518462
